route_id,service_id,trip_id,trip_headsign,direction_id,block_id
6-275,JUN17-JUNDA17-Weekday-28,48621252-JUN17-JUNDA17-Weekday-28,"Rockcliffe",1,5661227
6-275,JUN17-JUNDA17-Weekday-28,48621253-JUN17-JUNDA17-Weekday-28,"South Keys",0,5661227
290-275,JUN17-JUNDA17-Weekday-28,48621254-JUN17-JUNDA17-Weekday-28,"Hurdman",1,5661204
7-275,JUN17-JUNDA17-Weekday-28,48621255-JUN17-JUNDA17-Weekday-28,"Carleton",0,5661187
7-275,JUN17-JUNDA17-Weekday-28,48621256-JUN17-JUNDA17-Weekday-28,"St-Laurent",1,5661187
7-275,JUN17-JUNDA17-Weekday-28,48621257-JUN17-JUNDA17-Weekday-28,"Carleton",0,5661187
7-275,JUN17-JUNDA17-Weekday-28,48621258-JUN17-JUNDA17-Weekday-28,"St-Laurent",1,5661187
7-275,JUN17-JUNDA17-Weekday-28,48621259-JUN17-JUNDA17-Weekday-28,"Carleton",0,5661187
7-275,JUN17-JUNDA17-Weekday-28,48621260-JUN17-JUNDA17-Weekday-28,"St-Laurent",1,5661187
18-275,JUN17-JUNDA17-Weekday-28,48621261-JUN17-JUNDA17-Weekday-28,"Rideau",1,5660650
18-275,JUN17-JUNDA17-Weekday-28,48621262-JUN17-JUNDA17-Weekday-28,"St-Laurent",0,5661481
137-275,JUN17-JUNDA17-Weekday-28,48621264-JUN17-JUNDA17-Weekday-28,"Queenswood Heights",0,5660794
137-275,JUN17-JUNDA17-Weekday-28,48621265-JUN17-JUNDA17-Weekday-28,"Queenswood Heights",0,5660794
122-275,JUN17-JUNDA17-Weekday-28,48621266-JUN17-JUNDA17-Weekday-28,"Millennium",0,5661453
122-275,JUN17-JUNDA17-Weekday-28,48621267-JUN17-JUNDA17-Weekday-28,"Place d'Orléans",1,5661453
135-275,JUN17-JUNDA17-Weekday-28,48621268-JUN17-JUNDA17-Weekday-28,"Esprit",0,5661295
135-275,JUN17-JUNDA17-Weekday-28,48621269-JUN17-JUNDA17-Weekday-28,"Place d'Orléans",1,5661295
131-275,JUN17-JUNDA17-Weekday-28,48621270-JUN17-JUNDA17-Weekday-28,"Convent Glen",0,5661295
122-275,JUN17-JUNDA17-Weekday-28,48621271-JUN17-JUNDA17-Weekday-28,"Millennium",0,5661295
122-275,JUN17-JUNDA17-Weekday-28,48621272-JUN17-JUNDA17-Weekday-28,"Place d'Orléans",1,5661295
135-275,JUN17-JUNDA17-Weekday-28,48621273-JUN17-JUNDA17-Weekday-28,"Esprit",0,5661295
